"Name","Team","PA","AB","1B","2B","3B","HR","R","RBI","SB","BB%","K%","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","playerid"
"J.P. Crawford","SEA","603","518","93","24","3","6","57","42","3","11.3%","13.3%",".275",".243",".339",".336",".306","104","2.0","15491"
"Jonah Heim","TEX","450","406","55","20","1","16","51","48","2","9.1%","19.3%",".249",".227",".298",".399",".306","99","2.8","16930"
"Santiago Espinal","TOR","491","449","88","25","0","7","51","51","6","7.3%","13.8%",".300",".267",".322",".370",".305","99","2.3","19997"
"Josh Harrison","CHW","425","386","71","19","2","7","50","27","2","4.9%","16.7%",".297",".256",".317",".370",".305","98","1.4","8202"
"Nick Castellanos","PHI","558","524","98","27","0","13","56","62","7","5.2%","23.3%",".326",".263",".305",".389",".304","94","-0.7","11737"
"Tommy Pham","- - -","622","554","90","23","1","17","89","63","8","9.0%","26.8%",".304",".236",".312",".374",".304","89","0.6","2967"
"Riley Greene","DET","418","376","68","18","4","5","46","42","1","8.6%","28.7%",".354",".253",".321",".362",".303","98","0.9","25976"
"Josh Donaldson","NYY","546","478","63","28","0","15","59","62","2","9.9%","27.1%",".283",".222",".308",".374",".302","97","1.6","5038"
"Keibert Ruiz","WSN","433","394","70","22","0","7","33","36","6","6.9%","11.5%",".271",".251",".313",".360",".299","90","1.7","19610"
"Max Kepler","MIN","446","388","60","18","1","9","54","43","3","11.0%","14.8%",".249",".227",".318",".348",".298","95","2.0","12144"
"Jon Berti","MIA","404","358","62","17","3","4","47","28","41","10.4%","22.0%",".308",".240",".324",".338",".298","93","2.3","12037"
"Chris Taylor","LAD","454","402","51","25","3","10","45","43","10","9.7%","35.2%",".336",".221",".304",".373",".298","93","1.9","13757"
"Marcell Ozuna","ATL","507","470","64","19","0","23","56","56","2","6.1%","24.1%",".252",".226",".274",".413",".298","88","-0.6","10324"
"Hunter Dozier","KCR","500","462","67","26","4","12","51","41","4","6.8%","25.0%",".298",".236",".292",".387",".298","90","-1.0","15117"
"A.J. Pollock","CHW","527","489","79","26","1","14","61","56","3","6.1%","18.6%",".278",".245",".292",".389",".297","92","0.5","9256"
"Michael A. Taylor","KCR","456","414","83","10","3","9","49","43","4","7.7%","23.9%",".321",".254",".313",".357",".297","90","1.5","11489"
"Harold Castro","DET","443","420","84","21","2","7","37","47","0","3.8%","17.8%",".318",".271",".300",".381",".297","94","-0.4","14691"
"Brandon Marsh","- - -","461","424","71","18","4","11","49","52","10","6.1%","34.3%",".360",".245",".295",".384",".296","89","1.7","20202"
"Ke'Bryan Hayes","PIT","560","505","89","24","3","7","55","41","20","8.6%","21.8%",".307",".244",".314",".345",".294","88","3.0","18577"
"Whit Merrifield","- - -","550","504","86","28","1","11","70","58","16","6.9%","15.5%",".276",".250",".298",".375",".294","88","1.5","11281"
"Raimel Tapia","TOR","433","411","79","20","3","7","47","52","8","3.7%","18.7%",".315",".265",".292",".380",".293","90","0.3","14350"
"Aaron Hicks","NYY","453","384","64","9","2","8","54","40","10","13.9%","24.1%",".279",".216",".330",".313",".292","90","1.5","5297"
"Nelson Cruz","WSN","507","448","79","16","0","10","50","64","4","9.7%","23.5%",".295",".234",".313",".337",".292","85","-0.9","2434"
"Javier Baez","DET","590","555","84","27","4","17","64","67","9","4.4%","24.9%",".292",".238",".278",".393",".291","90","2.0","12979"
"Gary Sanchez","MIN","471","419","46","24","0","16","42","61","2","8.5%","28.9%",".257",".205",".282",".377",".290","89","1.3","11442"
